seed,tau,factor,criterion,pathway,active_alternatives,RE,base_IQR,SRE
27002,0.7,h_I,C4,h_I->C4,6,0.04529337659827904,0.12048021255352517,0.3759403775767811
27002,0.7,h_I,C5,h_I->C5,5,0.0998005239610763,0.1718051369924311,0.580893713119254
27002,0.7,h_T,C3,h_T->C3,5,0.032894321054201064,0.1143241559031566,0.28772852765935086
27002,0.7,h_T,C7,h_T->C7,6,0.04928908499976434,0.10892879594058437,0.4524890280270496
27002,0.8,h_D,C1,h_D->C1,6,0.08134715382052693,0.1228552110620807,0.6621384076151134
27002,0.8,h_D,C2,h_D->C2,6,0.061305187576361476,0.13100599680884034,0.4679571093630778
27002,0.8,h_D,C3,h_D->C3,5,0.049328695826844834,0.11468623248145135,0.43011872270189744
27002,0.8,h_D,C4,h_D->C4,6,0.045163161060371555,0.12054113793104392,0.3746701071117536
27002,0.8,h_D,C6,h_D->C6,6,0.038562131993796225,0.0815856721252819,0.4726581394599294
27002,0.8,h_D,C7,h_D->C7,6,0.03228839019346526,0.10942579522805897,0.29507110390083596
27002,0.8,h_E,C6,h_E->C6,6,0.024924969034241864,0.0815856721252819,0.3055066947988355
27002,0.8,h_I,C2,h_I->C2,6,0.04184959833907825,0.13100599680884034,0.3194479593161248
27002,0.8,h_I,C4,h_I->C4,6,0.04504935202353003,0.12054113793104392,0.37372595610410597
27002,0.8,h_I,C5,h_I->C5,5,0.09955327117318932,0.17188626581624494,0.5791810689461228
27002,0.8,h_T,C3,h_T->C3,5,0.032788569358559796,0.11468623248145135,0.28589804241391326
27002,0.8,h_T,C7,h_T->C7,6,0.04906790656153956,0.10942579522805897,0.44841261111081376
27002,0.9,h_D,C1,h_D->C1,6,0.08124251384953776,0.12296262449832125,0.6607090095900338
27002,0.9,h_D,C2,h_D->C2,6,0.06128765113528853,0.13032233465329252,0.47027741866247985
27002,0.9,h_D,C3,h_D->C3,5,0.048878231202089686,0.11526748418388195,0.4240417976303882
27002,0.9,h_D,C4,h_D->C4,6,0.04500411566372729,0.12079904742891379,0.3725535641316887
27002,0.9,h_D,C6,h_D->C6,6,0.0384784630239285,0.08190493704729873,0.46979418348417795
27002,0.9,h_D,C7,h_D->C7,6,0.03221853679290721,0.11002631471090434,0.29282573789069494
27002,0.9,h_E,C6,h_E->C6,6,0.024785377030837063,0.08190493704729873,0.30261151432448213
27002,0.9,h_I,C2,h_I->C2,6,0.04181523239302877,0.13032233465329252,0.3208600621217575
27002,0.9,h_I,C4,h_I->C4,6,0.04491447635188174,0.12079904742891379,0.37181151099672866
27002,0.9,h_I,C5,h_I->C5,5,0.0994339348903352,0.17172104638128752,0.579043378695551
27002,0.9,h_T,C3,h_T->C3,5,0.03261175117260927,0.11526748418388195,0.2829223818254073
27002,0.9,h_T,C7,h_T->C7,6,0.04877844396717222,0.11002631471090434,0.4433343431968518
27002,1.0,h_D,C1,h_D->C1,6,0.08112556375212211,0.12301191358889621,0.6594935513529439
27002,1.0,h_D,C2,h_D->C2,6,0.061188397732492406,0.1297923868112245,0.4714328724150511
27002,1.0,h_D,C3,h_D->C3,5,0.04863627640102949,0.11592650830548963,0.4195440465820258
27002,1.0,h_D,C4,h_D->C4,6,0.044928243295848186,0.12052647282209492,0.37276659843678067
27002,1.0,h_D,C6,h_D->C6,6,0.03844434422514834,0.08233405763525573,0.46693124727305324
27002,1.0,h_D,C7,h_D->C7,6,0.03208172040696009,0.11073121617719968,0.2897260728657671
27002,1.0,h_E,C6,h_E->C6,6,0.024625012925674504,0.08233405763525573,0.2990865946928735
27002,1.0,h_I,C2,h_I->C2,6,0.04173840393865265,0.1297923868112245,0.3215782139751937
27002,1.0,h_I,C4,h_I->C4,6,0.04489283607610346,0.12052647282209492,0.37247282712732993
27002,1.0,h_I,C5,h_I->C5,5,0.09932843059712232,0.1723826233812749,0.5762090670638655
27002,1.0,h_T,C3,h_T->C3,5,0.032286163134165505,0.11592650830548963,0.27850543940137035
27002,1.0,h_T,C7,h_T->C7,6,0.04862775624119604,0.11073121617719968,0.4391512883136714
27003,0.0,h_D,C1,h_D->C1,6,0.0798910234396269,0.12174249657862615,0.656229547480767
27003,0.0,h_D,C2,h_D->C2,6,0.059891744586549694,0.1528501332879662,0.3918331197874925
27003,0.0,h_D,C3,h_D->C3,5,0.04998989370215086,0.10490667458748554,0.47651776112668526
27003,0.0,h_D,C4,h_D->C4,6,0.04425376623449208,0.112764858522478,0.39244288348287426
27003,0.0,h_D,C6,h_D->C6,6,0.03964493303323578,0.07569547216094288,0.5237424630685891
27003,0.0,h_D,C7,h_D->C7,6,0.03140069856205195,0.11210189664978767,0.28010853964290455
27003,0.0,h_E,C6,h_E->C6,6,0.027532891271111443,0.07569547216094288,0.3637323407165963
27003,0.0,h_I,C2,h_I->C2,6,0.04123830399721488,0.1528501332879662,0.2697956691948253
27003,0.0,h_I,C4,h_I->C4,6,0.04611148044712013,0.112764858522478,0.40891711345977144
27003,0.0,h_I,C5,h_I->C5,5,0.09971907935989516,0.16737702372187688,0.5957751974667577
27003,0.0,h_T,C3,h_T->C3,5,0.035160198833606236,0.10490667458748554,0.335156928494094
27003,0.0,h_T,C7,h_T->C7,6,0.05036223711963631,0.11210189664978767,0.44925410384912023
