seed,p,factor,criterion,pathway,active_alternatives,RE,base_IQR,SRE
23005,1,h_I,C2,h_I->C2,6,0.0415973154380089,0.1450553975250503,0.2867684770609001
23005,1,h_I,C4,h_I->C4,6,0.04549250421461883,0.11925753266125907,0.38146440899003814
23005,1,h_I,C5,h_I->C5,5,0.09855699126580407,0.16382147434716787,0.6016121613967534
23005,1,h_T,C3,h_T->C3,5,0.03275048947176887,0.10709813625369007,0.30579887397746053
23005,1,h_T,C7,h_T->C7,6,0.04623020628754759,0.10026583924124176,0.46107634102434075
23005,2,h_D,C1,h_D->C1,6,0.08402565545969919,0.1300189708765653,0.6462568876877471
23005,2,h_D,C2,h_D->C2,6,0.06264732910104007,0.14695558789630392,0.4263011022406274
23005,2,h_D,C3,h_D->C3,5,0.05235119301359129,0.1278103689202843,0.40960051563448097
23005,2,h_D,C4,h_D->C4,6,0.046862926740176516,0.1168106726871457,0.40118702907643045
23005,2,h_D,C6,h_D->C6,6,0.04037318166702458,0.0833835774723837,0.48418624974338415
23005,2,h_D,C7,h_D->C7,6,0.03302359642070089,0.10301386313312666,0.3205742937501852
23005,2,h_E,C6,h_E->C6,6,0.026492402178598596,0.0833835774723837,0.3177172649740898
23005,2,h_I,C2,h_I->C2,6,0.0410677089494513,0.14695558789630392,0.2794566000317755
23005,2,h_I,C4,h_I->C4,6,0.04547263486631448,0.1168106726871457,0.3892849327879025
23005,2,h_I,C5,h_I->C5,5,0.0984807232977877,0.17762390449373722,0.5544339517697381
23005,2,h_T,C3,h_T->C3,5,0.031732024148135404,0.1278103689202843,0.2482742551793938
23005,2,h_T,C7,h_T->C7,6,0.046334319955118886,0.10301386313312666,0.4497872281014297
23005,3,h_D,C1,h_D->C1,6,0.08101789179329313,0.13165722719080966,0.6153698776844149
23005,3,h_D,C2,h_D->C2,6,0.061282328693441565,0.1484357238238881,0.41285431238734194
23005,3,h_D,C3,h_D->C3,5,0.04955789865819079,0.14558233360113085,0.3404114869708712
23005,3,h_D,C4,h_D->C4,6,0.046077524323927,0.11528717666930816,0.39967605812480717
23005,3,h_D,C6,h_D->C6,6,0.03821252927864391,0.08564123470405287,0.44619311492001823
23005,3,h_D,C7,h_D->C7,6,0.03172233780255585,0.10383353210758559,0.30551149670399064
23005,3,h_E,C6,h_E->C6,6,0.025128199302557604,0.08564123470405287,0.2934123893600874
23005,3,h_I,C2,h_I->C2,6,0.040161041770611555,0.1484357238238881,0.27056183468334183
23005,3,h_I,C4,h_I->C4,6,0.04488092852661996,0.11528717666930816,0.38929679625139874
23005,3,h_I,C5,h_I->C5,5,0.09708103741070943,0.1840443834246089,0.5274870963391816
23005,3,h_T,C3,h_T->C3,5,0.03012102765359212,0.14558233360113085,0.20690029420679135
23005,3,h_T,C7,h_T->C7,6,0.04448495889362329,0.10383353210758559,0.4284257502393584
23005,4,h_D,C1,h_D->C1,6,0.07822908051633984,0.13455346094781312,0.5813977579224051
23005,4,h_D,C2,h_D->C2,6,0.059905060655566555,0.1476053106130698,0.4058462422954068
23005,4,h_D,C3,h_D->C3,5,0.04675761454383415,0.15940119686158236,0.29333289501046383
23005,4,h_D,C4,h_D->C4,6,0.045469844168043956,0.11504695807462638,0.3952285651755716
23005,4,h_D,C6,h_D->C6,6,0.036382497772326126,0.08718756843671699,0.4172899694790342
23005,4,h_D,C7,h_D->C7,6,0.03043855196560994,0.10390702826694256,0.2929402608562606
23005,4,h_E,C6,h_E->C6,6,0.023850047610105563,0.08718756843671699,0.2735487184407832
23005,4,h_I,C2,h_I->C2,6,0.039488082568829574,0.1476053106130698,0.2675248092670288
23005,4,h_I,C4,h_I->C4,6,0.04428792300139737,0.11504695807462638,0.38495518475407753
23005,4,h_I,C5,h_I->C5,5,0.09576812883650751,0.18410349101398293,0.5201863816298496
23005,4,h_T,C3,h_T->C3,5,0.0287700550300811,0.15940119686158236,0.18048832503361553
